multipole,value,angle
Normal Quadrupole,-5.6946478239,78.8
Normal Quadrupole,-4.32931454824,79.0
Normal Quadrupole,-2.90731408039,79.2
Normal Quadrupole,-1.42963711406,79.4
Normal Quadrupole,0.102345377382,79.6
Normal Quadrupole,1.61879592109,79.8
Normal Quadrupole,3.09180432133,80.0
Normal Quadrupole,4.34868912276,80.2
Normal Quadrupole,5.42542035457,80.4
Normal Quadrupole,6.36017629071,80.6
Normal Quadrupole,7.35163520311,80.8
Normal Quadrupole,8.11638144895,81.0
Normal Quadrupole,8.70708918269,81.2
Normal Quadrupole,9.15353718558,81.4
Normal Quadrupole,9.15863700907,81.6
Normal Quadrupole,8.6612958294,81.8
Normal Quadrupole,7.7133010834,82.0
Normal Quadrupole,6.57418290221,82.2
Normal Quadrupole,5.28222596081,82.4
Normal Quadrupole,3.8685212135,82.6
Normal Quadrupole,2.4478183285,82.8
Normal Quadrupole,-0.155458278478,83.0
Normal Quadrupole,0.520452627526,83.2
Normal Quadrupole,-0.444724118437,83.4
Normal Quadrupole,-1.81984625999,83.6
Normal Quadrupole,-2.96551356527,83.8
Normal Quadrupole,-3.54803067901,84.0
Normal Quadrupole,-2.79102304108,84.2
Normal Quadrupole,0.438619663886,84.4
Normal Quadrupole,5.11680714705,84.6
Normal Quadrupole,7.77398586053,84.8
Normal Quadrupole,8.75595990566,85.0
Normal Quadrupole,8.96973957063,85.2
Normal Quadrupole,8.77065889668,85.4
Normal Quadrupole,8.33829502793,85.6
Normal Quadrupole,7.68191560787,85.8
Normal Quadrupole,6.97022242891,86.0
Normal Quadrupole,6.19745551914,86.2
Normal Quadrupole,5.46252716157,86.4
Normal Quadrupole,4.74003273489,86.6
Normal Quadrupole,3.9141733236,86.8
Normal Quadrupole,3.03354313173,87.0
Normal Quadrupole,2.09177231832,87.2
Normal Quadrupole,1.1632906687,87.4
Normal Quadrupole,0.289015966364,87.6
Normal Quadrupole,-0.632964589022,87.8
Normal Quadrupole,-1.52049884249,88.0
Normal Quadrupole,-2.41429277174,88.2
Normal Quadrupole,-3.16311713461,88.4
Normal Quadrupole,-3.70977513582,88.6
Normal Quadrupole,-4.030743215,88.8
Normal Quadrupole,-4.21694742489,89.0
Normal Quadrupole,-4.34974156896,89.2
Normal Quadrupole,-4.28536769978,89.4
Normal Quadrupole,-3.95169189665,89.6
Normal Quadrupole,-3.41944503752,89.8
Normal Quadrupole,-2.77946292463,90.0
Normal Quadrupole,-1.93256017001,90.2
Normal Quadrupole,-0.884276277889,90.4
Normal Quadrupole,0.187505960758,90.6
Normal Quadrupole,1.44637705325,90.8
Normal Quadrupole,2.76465378783,91.0
Normal Quadrupole,4.21160115697,91.2
Normal Quadrupole,5.6904667305,91.4
Normal Quadrupole,3.88583414478,91.6
Normal Quadrupole,8.4752868938,91.8
Normal Quadrupole,9.62892372427,92.0
Normal Quadrupole,10.7548225897,92.2
Normal Quadrupole,11.6253166981,92.4
Normal Quadrupole,12.2820132131,92.6
Normal Quadrupole,12.8634928393,92.8
Normal Quadrupole,13.2651061161,93.0
Normal Quadrupole,13.5137808093,93.2
Normal Quadrupole,13.4828750176,93.4
Normal Quadrupole,12.5203272693,93.6
Normal Quadrupole,9.17156757801,93.8
Normal Quadrupole,3.05245685457,94.0
Normal Quadrupole,-1.57158112153,94.2
Normal Quadrupole,-4.09624261677,94.4
Normal Quadrupole,-5.25056055912,94.6
Normal Quadrupole,-5.57730447151,94.8
Normal Quadrupole,-5.33531163486,95.0
Normal Quadrupole,-4.77931077814,95.2
Normal Quadrupole,-4.05413235898,95.4
Normal Quadrupole,-3.16389119523,95.6
Normal Quadrupole,-2.03612256807,95.8
Normal Quadrupole,-1.36235530695,96.0
Normal Quadrupole,-0.539505124101,96.2
Normal Quadrupole,0.273761867868,96.4
Normal Quadrupole,0.8835254384,96.6
Normal Quadrupole,1.44618835563,96.8
Normal Quadrupole,1.86429002246,97.0
Normal Quadrupole,2.21782649232,97.2
Normal Quadrupole,2.50739445921,97.4
Normal Quadrupole,2.71860210382,97.6
Normal Quadrupole,2.83639346862,97.8
Normal Quadrupole,2.89979440952,98.0
Normal Quadrupole,2.88257151933,98.2
Normal Quadrupole,2.84837276632,98.4
Normal Quadrupole,2.82657384915,98.6
Normal Quadrupole,2.81517751863,98.8
Normal Quadrupole,2.83596428278,99.0
Normal Quadrupole,2.87521472667,99.2
Normal Quadrupole,2.94637384061,99.4
Normal Quadrupole,3.12008863284,99.6
Normal Quadrupole,3.3718174982,99.8
Normal Quadrupole,3.63944116062,100.0
Normal Quadrupole,3.90992540171,100.2
Normal Quadrupole,4.22337999723,100.4
Normal Quadrupole,4.47181929457,100.6
Normal Quadrupole,4.7025923832,100.8
Normal Quadrupole,4.88403928074,101.0
Normal Quadrupole,5.09150934866,101.2
Normal Quadrupole,5.32525240214,101.4
Normal Quadrupole,5.49628082506,101.6
Normal Quadrupole,5.57135235966,101.8
Normal Quadrupole,5.48056789383,102.0
Normal Quadrupole,5.11932846324,102.2
Normal Quadrupole,4.54640848798,102.4
Normal Quadrupole,4.03800644692,102.6
Normal Quadrupole,3.66877040397,102.8
Normal Quadrupole,3.46251212692,103.0
Normal Quadrupole,3.31187736612,103.2
Normal Quadrupole,3.21747564098,103.4
Normal Quadrupole,3.17986743407,103.6
Normal Quadrupole,3.00437079859,103.8
Normal Quadrupole,2.55601301377,104.0
Normal Quadrupole,0.909132156769,104.2
Normal Quadrupole,-1.13663916569,104.4
Normal Quadrupole,-2.46231723593,104.6
Normal Quadrupole,-3.03908216497,104.8
Normal Quadrupole,-3.11402766919,105.0
Normal Quadrupole,-2.80316341594,105.2
Normal Quadrupole,-2.22927270723,105.4
Normal Quadrupole,-1.57384359911,105.6
Normal Quadrupole,-0.830963275588,105.8
Normal Quadrupole,-0.210000289843,106.0
Normal Quadrupole,0.186842883319,106.2
Normal Quadrupole,0.378455462565,106.4
Normal Quadrupole,0.339523186109,106.6
Normal Quadrupole,0.165875148827,106.8
Normal Quadrupole,0.0392267351856,107.0
Normal Quadrupole,-0.063908708125,107.2
Normal Quadrupole,-0.201003012689,107.4
Normal Quadrupole,-0.310403665849,107.6
Normal Quadrupole,-0.495169910742,107.8
Normal Quadrupole,-0.658587432486,108.0
Normal Quadrupole,-0.777405613537,108.2
Normal Quadrupole,-0.821404807477,108.4
Normal Quadrupole,-0.838634846759,108.6
Normal Quadrupole,-0.825392037624,108.8
Normal Quadrupole,-0.834154885446,109.0
Normal Quadrupole,-0.951735523358,109.2
Normal Quadrupole,-1.04876007963,109.4
Normal Quadrupole,-1.10792339659,109.6
Normal Quadrupole,-1.09574252868,109.8
Normal Quadrupole,-1.0573415725,110.0
Normal Quadrupole,-0.996203518285,110.2
Normal Quadrupole,-1.03092612644,110.4
Normal Quadrupole,-1.19168519151,110.6
Normal Quadrupole,-1.48232318798,110.8
Normal Quadrupole,-1.95154733098,111.0
Normal Quadrupole,-2.48824343973,111.2
Normal Quadrupole,-3.17286404272,111.4
Normal Quadrupole,-4.06412282326,111.6
Normal Quadrupole,-5.48579853334,111.8
Normal Quadrupole,-7.25887845691,112.0
Normal Quadrupole,-8.93145259938,112.2
Normal Quadrupole,-10.3667522773,112.4
Normal Quadrupole,-12.1279824091,112.6
Normal Quadrupole,-14.1125128253,112.8
Normal Quadrupole,-15.8775027593,113.0
Normal Quadrupole,-17.756654675,113.2
Normal Quadrupole,-19.5606211406,113.4
Normal Quadrupole,-21.2067238116,113.6
Normal Quadrupole,-21.9236710514,113.8
